"asset_id","parent_asset_id","asset_name","asset_class","asset_type","workstream","solution_block","product_family","product_models","production_stage","buyer_personas","buyer_problem","funnel_stage","channel","content_format","objective","key_message_or_function","primary_cta","route_or_destination","cadence","quantity","scope_treatment","mvp_required","priority","content_status","design_status","build_status","technical_validation_status","approval_status","owner","dependencies","source_refs","tags","notes"
"FA-0001","","Puretronics workspace parent and repository navigation index","source-asset","source-record","governance","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","yes","critical","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","README.md# Source Of Truth Rules;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/puretronics-main-page.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-governance","Core Notion asset 1 of 10. Navigation authority only."
"FA-0002","","Input files — Wire and Cable Industry product portfolio index","source-asset","source-record","source-intelligence","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","no","high","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","docs/04-source-archive/input-files-index.md;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/input-files-index.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-source-intelligence","Core Notion asset 2 of 10. Historical source index."
"FA-0003","","Master Wire & Cable product portfolio and technical reference","source-asset","source-record","source-intelligence","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","no","high","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","docs/03-product-intelligence/master-product-portfolio-technical-reference.md;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/master-document.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-required;workstream-source-intelligence","Core Notion asset 3 of 10. Technical reference; normalized Markdown is a placeholder, so raw export governs."
"FA-0004","","Puretronics Wire & Cable Product Master Database","source-asset","source-record","source-intelligence","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","yes","critical","approved","not-applicable","not-applicable","pending-puretronics-validation","not-applicable","unassigned","not-applicable","data/product-master/rows.json;data/product-master/schema.json;data/product-master/views.json;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/product-master-database.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-required;workstream-source-intelligence","Core Notion asset 4 of 10. Product-intelligence authority, not legal or commercial authority."
"FA-0005","","Puretronics Wire & Cable Product Intelligence Hub","source-asset","source-record","source-intelligence","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","no","high","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","docs/03-product-intelligence/product-intelligence-hub.md;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/product-intelligence-hub.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-source-intelligence","Core Notion asset 5 of 10. Operating guide."
"FA-0006","","Master user guide — Product Master Database","source-asset","source-record","source-intelligence","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","no","high","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","docs/03-product-intelligence/master-user-guide-product-database.md;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/master-user-guide.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-source-intelligence","Core Notion asset 6 of 10. Product-data operating guide."
"FA-0007","","Internal working copy — Annexure A funnel architecture","source-asset","source-record","governance","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","excluded-reference-only","no","high","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","docs/01-funnel-architecture/internal-copy-annexure-a-funnel-architecture.md;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/internal-copy-annexure-a.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-excluded-reference-only;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-governance","Core Notion asset 7 of 10. Rich architecture input, but internal/future-expansion language does not override signed scope."
"FA-0008","","Annexure A — Funnel architecture","source-asset","source-record","governance","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","yes","critical","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","docs/01-funnel-architecture/annexure-a-funnel-architecture.md;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/annexure-a.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-governance","Core Notion asset 8 of 10. Aligned funnel architecture reference."
"FA-0009","","Annexure B — Commercial structure and pricing","source-asset","source-record","governance","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","yes","critical","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","docs/02-commercial/annexure-b-commercial-structure-pricing.md;data/notion-export/taxonomy-migration/2026-07-30/post-cutover/annexure-b.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-governance","Core Notion asset 9 of 10. Aligned commercial reference; signed agreement wins on conflict."
"FA-0010","","Signed Services Agreement — Final signature copy","source-asset","source-record","governance","not-applicable","not-applicable","not-applicable","not-applicable","internal-operations","not-applicable","internal-operations","internal-operations","reference-record","Preserve an existing source asset with implementation traceability.","Existing source input; not a new buyer-facing deliverable.","not-applicable","master-implementation-backlog","not-applicable","1","governance","yes","critical","approved","not-applicable","not-applicable","not-required","not-applicable","unassigned","not-applicable","docs/00-governance/services-agreement-final-signature-copy.md;data/notion-export/raw-page-fetches/services-agreement-final-signature-copy.json","asset-class-source-asset;channel-internal-operations;format-reference-record;funnel-internal-operations;persona-internal-operations;problem-not-applicable;product-family-not-applicable;readiness-approved;recurrence-not-applicable;scope-governance;solution-not-applicable;stage-not-applicable;validation-technical-not-required;workstream-governance","Core Notion asset 10 of 10 and locked legal/commercial authority. Normalized Markdown is stale; exact raw response governs."
